latitud,longitud,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster,target,Coordinates,geometry
22.2473,-102.33911,-0.033804629690225844,-0.00583353351541653,0.002763364254405089,-0.012444079508781474,-0.12484960103253927,0.004605129679718987,-0.005100727171373753,2,Rojo,POINT (-102.33911 22.2473),POINT (-102.33911 22.2473)
22.90473,-109.8429,0.25370046151822,-0.006307730104481181,-0.010781836021376801,-0.011038081010265521,-0.03651307160336419,0.06393203296895685,-0.009044836336551471,4,Verde,POINT (-109.8429 22.90473),POINT (-109.8429 22.90473)
22.8988,-109.86442,0.253689488364045,-0.006287320325372268,-0.011479484648385975,-0.011064198620172619,-0.036589063573061506,0.0639306375835694,-0.009050300208439584,4,Verde,POINT (-109.86442 22.8988),POINT (-109.86442 22.8988)
22.89609,-109.88604,0.11795346378202604,-0.006994332010339361,-0.009517766340105746,-0.012743816338595537,-0.03227449168044395,-0.07314090052854477,-0.008387225863922163,4,Verde,POINT (-109.88604 22.89609),POINT (-109.88604 22.89609)
22.87694,-109.89657,0.2796889281452436,-0.006152968790518777,-0.011628596474532592,-0.010554589535287701,-0.028617027426350153,0.05430901962687784,-0.00932298334600555,4,Verde,POINT (-109.89657 22.87694),POINT (-109.89657 22.87694)
22.88,-109.9025,0.2630326002312276,-0.00629548109684805,-0.01052129998146545,-0.011553856827521957,-0.04653161977522262,0.055181125409915065,-0.007521684201824415,4,Verde,POINT (-109.9025 22.88),POINT (-109.9025 22.88)
22.8831,-109.9054,0.11211001331811075,-0.007069414672672057,-0.005733865706531116,-0.011849838385912494,-0.03491109355283523,0.024787843869045784,-0.00829264430398318,4,Verde,POINT (-109.9054 22.8831),POINT (-109.9054 22.8831)
23.4393,-110.23902,0.47450696026379596,-0.0066342599288642225,0.013664701061213575,-0.018418558701734287,-0.1389220720058315,-0.2986100301812287,-0.0013495016923822456,4,Rojo,POINT (-110.23902 23.4393),POINT (-110.23902 23.4393)
23.45805,-110.22379,0.0027791173455450997,-0.07525173702167103,-0.014408381744392318,0.009369418558104893,0.001958897881097271,-0.0002771772439160873,-0.007481615220535197,4,Amarillo,POINT (-110.22379 23.45805),POINT (-110.22379 23.45805)
23.43995,-109.80786,0.0032388675089061467,-0.3080667283972212,-0.023914688926678987,0.08863529289802603,-0.0018212721092973963,-0.0007239913831965256,-0.009008804367694228,4,Amarillo,POINT (-109.80786 23.43995),POINT (-109.80786 23.43995)
23.39128,-109.8261,0.002776682152777407,-0.10157916169974807,-0.015623177815765936,0.022285926884949923,0.0013011818081266533,-0.00031585491087305056,-0.009405200789218074,4,Amarillo,POINT (-109.8261 23.39128),POINT (-109.8261 23.39128)
24.50289,-110.95153,0.002266289962605443,0.18020971723561247,-0.0039361239163822745,-0.07778879849333205,0.0060257815365330454,0.00021649425441135826,-0.009298138831853726,4,Amarillo,POINT (-110.95153 24.50289),POINT (-110.95153 24.50289)
24.46953,-111.00268,0.0029565931871373494,-0.16773129991243385,-0.01815539912521075,0.04058482794596914,0.0004184879899233998,-0.0004495679031975286,-0.010235857692745967,4,Verde,POINT (-111.00268 24.46953),POINT (-111.00268 24.46953)
23.337,-109.77912,0.0026270160483382963,-0.007932028572010901,-0.011688582707207547,-0.011766196758985952,0.002868241321310499,-0.00016524151361208545,-0.009991154666659391,4,Amarillo,POINT (-109.77912 23.337),POINT (-109.77912 23.337)
23.73546,-109.84545,0.002872718264134011,-0.12544641957025107,-0.01642652828155529,0.026160711949153086,0.0011027900932885166,-0.0003678977362862192,-0.010114043485894779,4,Verde,POINT (-109.84545 23.73546),POINT (-109.84545 23.73546)
26.06218,-111.80531,0.002858009094665617,-0.11803330507009771,-0.016123655809695298,0.023642383656526756,0.0012219812064992272,-0.00035377662194149823,-0.010094823613947087,4,Verde,POINT (-111.80531 26.06218),POINT (-111.80531 26.06218)
26.80955,-113.46249,0.0075616258851546785,-0.007107292123646881,-0.013738779063975783,-0.009607956317065298,0.020282676852809624,-0.0007757955192106722,-0.01005693604618264,4,Verde,POINT (-113.46249 26.80955),POINT (-113.46249 26.80955)
25.69695,-112.09347,0.20747672723053065,-0.006793497536405159,-0.007800123078026205,-0.0143764308045598,-0.059531038767086174,-0.12980054012454226,-0.007223458571054028,4,Verde,POINT (-112.09347 25.69695),POINT (-112.09347 25.69695)
26.03686,-111.8325,0.002788841392662124,-0.08315481708526709,-0.0146981322453842,0.011764210521781313,0.001785257349064501,-0.00028677887968150506,-0.009987649674677648,4,Amarillo,POINT (-111.8325 26.03686),POINT (-111.8325 26.03686)
25.7233,-111.23517,0.42074865343862466,-0.005328140461713379,-0.0167215463954274,-0.008717139844045523,-0.013607531514394068,0.0931070396206766,-0.010109833716310683,4,Verde,POINT (-111.23517 25.7233),POINT (-111.23517 25.7233)
25.74527,-111.2583,0.3905917785001593,-0.005522555798256295,-0.015381549869021141,-0.009306547507461809,-0.021398681122569995,0.09193807501107479,-0.009816582283896123,4,Verde,POINT (-111.2583 25.74527),POINT (-111.2583 25.74527)
25.80818,-111.30427,0.36591977707458095,-0.005767824815246868,-0.01343512818353499,-0.010678509398840632,-0.03442486631082467,0.03846759655477757,-0.009370025708352023,4,Verde,POINT (-111.30427 25.80818),POINT (-111.30427 25.80818)
25.8758,-111.33986,0.3588194537281778,-0.0057311849085443485,-0.014139690343788506,-0.010027337934274542,-0.027644345616461747,0.0691727635650019,-0.0095560108054954,4,Verde,POINT (-111.33986 25.8758),POINT (-111.33986 25.8758)
25.8363,-111.33105,0.3226079005219135,-0.005901751823416789,-0.013408190101047256,-0.010258326602715495,-0.02904946313699348,0.06389840645950975,-0.008708957844470728,4,Verde,POINT (-111.33105 25.8363),POINT (-111.33105 25.8363)
26.00486,-111.33488,0.22309659333525764,-0.0067706132831555944,-0.007491924044807827,-0.014725422821136171,-0.06430134124464336,-0.1396861985198457,-0.0077162408984521695,4,Verde,POINT (-111.33488 26.00486),POINT (-111.33488 26.00486)
26.02468,-111.34405,0.23150708863637057,-0.006759784899301852,-0.007324929460601173,-0.014921216874239421,-0.06687170105343651,-0.1450090907349302,-0.008067069156960404,4,Verde,POINT (-111.34405 26.02468),POINT (-111.34405 26.02468)
26.061,-111.326,0.45706758232389266,-0.005866612975862308,-0.005414884606410445,-0.014442067207392153,-0.12148123326332325,0.11329964963185504,-0.007064598017588337,4,Verde,POINT (-111.326 26.061),POINT (-111.326 26.061)
26.56365,-111.77255,0.36729196219485566,-0.006470631554144595,-0.004708863742648446,-0.01747907290131722,-0.10823181479974801,-0.23094761434110242,-0.0071870019714102415,4,Verde,POINT (-111.77255 26.56365),POINT (-111.77255 26.56365)
26.62937,-111.8147,0.5203203311696716,-0.004846474081700701,-0.018412165805776686,-0.008087824107144898,-0.01279621875382733,0.10626058798786095,-0.010374177073515865,4,Verde,POINT (-111.8147 26.62937),POINT (-111.8147 26.62937)
26.70713,-111.88428,0.12876720643061443,-0.00697856906754031,-0.009304342017105222,-0.012985847933397375,-0.03557710171441322,-0.0799848095992867,-0.00873296070000942,4,Verde,POINT (-111.88428 26.70713),POINT (-111.88428 26.70713)
26.88707,-111.93964,0.22309563629203988,-0.006777697053426641,-0.007486986628969922,-0.014762765615924869,-0.06430957011339954,-0.13968546537879573,-0.00812158659323342,4,Verde,POINT (-111.93964 26.88707),POINT (-111.93964 26.88707)
26.9002,-111.9534,0.36461945700055765,-0.0061458331818137115,-0.006679457450712253,-0.01368019459227321,-0.09632785604127268,0.08607148232200597,-0.007227652978104277,4,Verde,POINT (-111.9534 26.9002),POINT (-111.9534 26.9002)
26.88692,-111.98679,0.0028992502609848634,-0.13888997422680935,-0.01698278605371193,0.031055320444015065,0.0008622258979888846,-0.00039970452896717634,-0.010216088909294296,4,Amarillo,POINT (-111.98679 26.88692),POINT (-111.98679 26.88692)
26.88867,-111.98267,0.0027734723564589864,-0.08590645359748154,-0.014884965133190393,0.014635587450345853,0.0016437125338306863,-0.000294925025284066,-0.009968581060519401,4,Amarillo,POINT (-111.98267 26.88867),POINT (-111.98267 26.88867)
27.33785,-112.26147,0.13225196893362426,-0.0068158243666351405,-0.010679243567130828,-0.011422315489841793,-0.025628655869053787,0.02072294498699304,-0.009057825127880875,4,Verde,POINT (-112.26147 27.33785),POINT (-112.26147 27.33785)
27.35023,-112.26933,0.0212301840128574,-0.036207694928077745,0.9798830109380574,0.027167878086316197,0.12159375291823304,0.0014630868591896276,-0.002082688324838691,4,Rojo,POINT (-112.26933 27.35023),POINT (-112.26933 27.35023)
26.96917,-113.17406,0.2693683925510203,-0.006606877457620137,-0.006646067503753799,-0.015253096457158936,-0.07831729972458872,-0.1689728878742018,-0.0036844512913413226,4,Verde,POINT (-113.17406 26.96917),POINT (-113.17406 26.96917)
26.94383,-113.14605,0.2345123965038391,-0.006744374292101893,-0.007273334282325448,-0.014930291531802328,-0.06777627738189078,-0.1469113183557207,-0.007531835637223802,4,Verde,POINT (-113.14605 26.94383),POINT (-113.14605 26.94383)
26.9028,-113.14135,0.19486253533140746,-0.006798259648490874,-0.008058616882843856,-0.014022219326383548,-0.055662162761866724,-0.12181738998262781,-0.006040284019379051,4,Verde,POINT (-113.14135 26.9028),POINT (-113.14135 26.9028)
26.87106,-113.17136,0.17667885444423242,-0.006320522977735178,-0.01487248070107906,-0.00866082903157443,0.004363287810717966,0.094111782628597,-0.008436916621328108,4,Verde,POINT (-113.17136 26.87106),POINT (-113.17136 26.87106)
26.786,-113.15,0.21168093535548083,-0.00679577762666979,-0.007711262840866778,-0.014514888999801212,-0.06082515674201649,-0.13246118990556519,-0.007839152952408524,4,Verde,POINT (-113.15 26.786),POINT (-113.15 26.786)
27.37706,-112.2933,0.005127211855985936,-0.007175899601963164,-0.01275663223978987,-0.010098702759032826,0.01173963054561951,-0.0004594395084545755,-0.009808792025556201,4,Verde,POINT (-112.2933 27.37706),POINT (-112.2933 27.37706)
26.7362,-113.2707,0.23391077325807352,-0.006751613756981014,-0.007280755633194868,-0.014950392446932621,-0.06760019149832643,-0.14653044256363787,-0.007876772786555327,4,Verde,POINT (-113.2707 26.7362),POINT (-113.2707 26.7362)
26.81313,-113.26459,0.23391036073475094,-0.006754667140980486,-0.007278627412495813,-0.014966488662329296,-0.06760373846487568,-0.1465301265509687,-0.008051492746596682,4,Verde,POINT (-113.26459 26.81313),POINT (-113.26459 26.81313)
26.7894,-113.70728,0.004154601294770922,-0.007194793228010785,-0.012369732451458443,-0.010249932512161318,0.008332343401393072,-0.0003337819282496483,-0.00922032481898259,4,Verde,POINT (-113.70728 26.7894),POINT (-113.70728 26.7894)
